,Residential,Garden,Settlement,BP_BF,year_of_building,length_of_building,new_ins_period,NumberOfWindows_0,NumberOfWindows_1,NumberOfWindows_10,NumberOfWindows_2,NumberOfWindows_3,NumberOfWindows_4,NumberOfWindows_5,NumberOfWindows_6,NumberOfWindows_7,NumberOfWindows_8,NumberOfWindows_9,Building_Type_1,Building_Type_2,Building_Type_3,Building_Type_4
0,0,0.0,0,1,53.0,34,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1.0,1,1,165.0,44,1000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,0,0.0,0,1,54.0,48,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,0,0.0,0,0,53.0,106,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,1.0,1,1,214.0,52,1000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,0,1.0,1,1,32.0,46,1000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,0,0.0,0,1,24.0,106,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,0,0.0,0,1,27.0,140,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,0,1.0,1,1,1.0,104,1000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9,0,1.0,1,1,4.0,45,1000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,0,1.0,1,1,53.0,46,241,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11,0,0.0,0,0,53.0,60,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,0,1.0,1,1,463.0,58,1000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13,0,1.0,1,1,114.0,34,843,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14,0,0.0,0,1,52.0,47,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,0,1.0,1,1,5.0,115,1000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
16,0,0.0,0,1,26.0,126,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,0,0.0,0,1,27.0,126,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,0,1.0,1,1,45.0,98,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
19,0,1.0,1,1,46.0,98,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20,0,1.0,1,1,66.0,80,956,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
21,0,1.0,1,1,316.0,97,997,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
22,0,1.0,1,1,112.0,31,1000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
23,1,1.0,1,1,42.0,95,1000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,0,0.0,0,1,36.0,48,997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,0,1.0,1,1,36.0,147,1000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
26,0,1.0,1,1,38.0,147,1000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
27,0,1.0,1,1,114.0,66,1000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
28,0,1.0,1,1,76.0,69,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
29,0,1.0,1,1,62.0,46,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
30,0,1.0,1,1,94.0,60,1000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
31,0,1.0,1,1,31.0,38,1000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,0,1.0,1,1,56.0,74,1000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
33,1,0.0,0,1,56.0,63,997,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,0,1.0,1,1,212.0,43,1000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
35,0,1.0,1,1,44.0,72,84,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36,0,1.0,1,1,34.0,107,1000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
37,0,0.0,0,1,26.0,72,1000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,0,0.0,0,1,25.0,72,1000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,0,0.0,0,1,27.0,72,1000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,0,0.0,0,1,32.0,79,1000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,0,0.0,0,1,33.0,79,1000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,0,1.0,1,1,34.0,42,1000,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43,0,0.0,0,1,46.0,43,1000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,1,1.0,1,1,35.0,44,1000,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45,0,1.0,1,1,43.0,78,1000,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
46,0,1.0,1,1,44.0,78,997,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,1,1.0,1,1,4.0,50,1000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
48,1,1.0,1,1,5.0,50,1000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
49,0,1.0,1,1,43.0,101,1000,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50,0,0.0,0,1,25.0,72,1000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
